startframe	starttime	endframe	endtime
0	0.000	119	4.760
119	4.760	134	5.360
134	5.360	149	5.960
149	5.960	164	6.560
164	6.560	179	7.160
179	7.160	194	7.760
194	7.760	209	8.360
209	8.360	224	8.960
224	8.960	239	9.560
239	9.560	254	10.160
254	10.160	269	10.760
269	10.760	284	11.360
284	11.360	299	11.960
299	11.960	317	12.680
317	12.680	362	14.480
362	14.480	432	17.280
432	17.280	507	20.280
507	20.280	537	21.480
537	21.480	552	22.080
552	22.080	567	22.680
567	22.680	582	23.280
582	23.280	597	23.880
597	23.880	612	24.480
612	24.480	627	25.080
627	25.080	647	25.880
647	25.880	667	26.680
667	26.680	682	27.280
682	27.280	698	27.920
698	27.920	713	28.520
713	28.520	728	29.120
728	29.120	835	33.400
835	33.400	850	34.000
850	34.000	865	34.600
865	34.600	887	35.480
887	35.480	962	38.480
962	38.480	990	39.600
990	39.600	1005	40.200
1005	40.200	1020	40.800
1020	40.800	1035	41.400
1035	41.400	1050	42.000
1050	42.000	1065	42.600
1065	42.600	1081	43.240
1081	43.240	1097	43.880
1097	43.880	1112	44.480
1112	44.480	1127	45.080
1127	45.080	1142	45.680
1142	45.680	1157	46.280
1157	46.280	1178	47.120
1178	47.120	1193	47.720
1193	47.720	1208	48.320
1208	48.320	1223	48.920
1223	48.920	1238	49.520
1238	49.520	1253	50.120
1253	50.120	1356	54.240
1356	54.240	1490	59.600
1490	59.600	1505	60.200
1505	60.200	1520	60.800
1520	60.800	1535	61.400
1535	61.400	1606	64.240
1606	64.240	1728	69.120
1728	69.120	1743	69.720
1743	69.720	1758	70.320
1758	70.320	1773	70.920
1773	70.920	1788	71.520
1788	71.520	1803	72.120
1803	72.120	1820	72.800
1820	72.800	1835	73.400
1835	73.400	1850	74.000
1850	74.000	1874	74.960
1874	74.960	1889	75.560
1889	75.560	1904	76.160
1904	76.160	1922	76.880
1922	76.880	1945	77.800
1945	77.800	1967	78.680
1967	78.680	1982	79.280
1982	79.280	1997	79.880
1997	79.880	2012	80.480
2012	80.480	2027	81.080
2027	81.080	2042	81.680
2042	81.680	2057	82.280
2057	82.280	2072	82.880
2072	82.880	2087	83.480
2087	83.480	2102	84.080
2102	84.080	2117	84.680
2117	84.680	2132	85.280
2132	85.280	2147	85.880
2147	85.880	2162	86.480
2162	86.480	2177	87.080
2177	87.080	2192	87.680
2192	87.680	2207	88.280
2207	88.280	2222	88.880
2222	88.880	2237	89.480
2237	89.480	2252	90.080
2252	90.080	2267	90.680
2267	90.680	2282	91.280
2282	91.280	2297	91.880
2297	91.880	2312	92.480
2312	92.480	2327	93.080
2327	93.080	2342	93.680
2342	93.680	2357	94.280
2357	94.280	2372	94.880
2372	94.880	2387	95.480
2387	95.480	2402	96.080
2402	96.080	2417	96.680
2417	96.680	2432	97.280
2432	97.280	2447	97.880
2447	97.880	2462	98.480
2462	98.480	2477	99.080
2477	99.080	2492	99.680
2492	99.680	2507	100.280
2507	100.280	2522	100.880
2522	100.880	2537	101.480
2537	101.480	2552	102.080
2552	102.080	2567	102.680
2567	102.680	2582	103.280
2582	103.280	2597	103.880
2597	103.880	2612	104.480
2612	104.480	2627	105.080
2627	105.080	2642	105.680
2642	105.680	2657	106.280
2657	106.280	2672	106.880
2672	106.880	2687	107.480
2687	107.480	2702	108.080
2702	108.080	2717	108.680
2717	108.680	2732	109.280
2732	109.280	2747	109.880
2747	109.880	2762	110.480
2762	110.480	2777	111.080
2777	111.080	2800	112.000
2800	112.000	2828	113.120
2828	113.120	2845	113.800
2845	113.800	2882	115.280
2882	115.280	2900	116.000
2900	116.000	2917	116.680
2917	116.680	2932	117.280
2932	117.280	2947	117.880
2947	117.880	2962	118.480
2962	118.480	2977	119.080
2977	119.080	2992	119.680
2992	119.680	3007	120.280
3007	120.280	3022	120.880
3022	120.880	3087	123.480
3087	123.480	3102	124.080
3102	124.080	3117	124.680
3117	124.680	3132	125.280
3132	125.280	3147	125.880
3147	125.880	3162	126.480
3162	126.480	3177	127.080
3177	127.080	3192	127.680
3192	127.680	3207	128.280
3207	128.280	3222	128.880
3222	128.880	3237	129.480
3237	129.480	3252	130.080
3252	130.080	3267	130.680
3267	130.680	3282	131.280
3282	131.280	3297	131.880
3297	131.880	3312	132.480
3312	132.480	3327	133.080
3327	133.080	3342	133.680
3342	133.680	3357	134.280
3357	134.280	3372	134.880
3372	134.880	3387	135.480
3387	135.480	3402	136.080
3402	136.080	3417	136.680
3417	136.680	3432	137.280
3432	137.280	3451	138.040
3451	138.040	3467	138.680
